#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,ttf-inconsolata,"is the monospace font of LARBS."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,ttf-dejavu,"Dejavu font"
A,ttf-emojione,"is a package that gives the system unicode symbols and emojis used in the status bar and elsewhere."
A,ttf-symbola,"provides unicode and emoji symbols."
A,nerd-fonts-complete, "More better ricing"
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,arandr,"is a UI for screen adjustment."
,xorg-xprop,"is a tool for detecting window properties."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
A,compton,"Transparencies and things"
,networkmanager,"does exactly what it sounds like."
,pulseaudio,"is the audio system (>inb4 bloat)."
,pulseaudio-alsa,"is an audio interface with ALSA."
,pulsemixer,"is an intuitive ncurses audio controller."
,alsa-utils, "Allows keyboard volume control to work"
,playerctl, "Allows keyboard play/pause and such to work"
,i3-gaps,"is the main graphical user interface and window manager."
,i3lock,"is the screen lock."
A,polybar,"My taskbar!"
,jgmenu, "I'm not sure, I never use it"
,nitrogen, "Desktop background"
,exfat-utils,"allows management of FAT drives."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,mediainfo,"shows audio and video information and is used by vifm as well."
,atool,"manages and gives information about archives."
A,unclutter-xfixes-git,"hides an inactive mouse."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,gnome-keyring,"serves as the system keyring."
,imagemagick,"is a terminal image-manipulator providing some convenient shortcuts and the lockscreen in LARBS."
,ffmpeg,"can record and splice video and audio on the command line."
,kitty,"Robert's Terminal of choice"
,zsh,"Bash Alternative"
,zsh-theme-powerlevel9k,"Pretty heavy, I may switch away from it."
,neovim,"a tidier vim with some useful features"
A,vim-plug-git,"Vim Plugins!"
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,ranger,"is an extensive terminal file manager that everyone likes."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
A,wego, "Command line weather"
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,tldr, "Like man, but for lazy people"
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
A,htop-vim-git,"provides system usage information and displays processes."
A,gotop,"My favorite system status viewer"
,neofetch, "i use arch btw"
,bat,"Terminal preview that is more better"
,wget,
,cloc,
,xclip,"allows for copying and pasting from the command line."
,ctags,"Development tool"
A,task-spooler,"queues commands or files for download."
,nextcloud-client,"Sync up my files!"
,pass,"Password manager"
A,upass,"password TUI"
,firefox,"is the only program on LARBS your girlfriend has ever heard of."
,firefox-tridactyl,
,firefox-extension-privacybadger,
,firefox-extension-https-everywhere,
,firefox-ublock-origin,
A,passff-host,"Host process for firefox password plugin"
A,firefox-passff,"Firefox plugin to integrate password manager"
A,firefox-tridactyl-native,"Enables things like editing text externally"
A,rbenv, "Ruby environment; you will still need to install some version of ruby."
A,ruby-build, "Allows us to build new versions of ruby"
A,nvm, "Node version manager"
,python,"Allows neovim packages to work"
,python2,"Allows neovim packages to work"
,python-pip, "So I can pip install things"
,python-pillow,"Allows Ranger's image preview to work"
A,spotify, "Music. Yeah, closed source, I know."
A,cli-visualizer,"Eye candy, sound visualizer"
A,google-chrome,"I needs it for web devs, I don't actually use it i swear"
